example_id,token_count_A,token_count_B,token_count_C,token_count_D,token_count_E,aligned
geo_001,239,239,239,239,239,True
geo_002,239,239,239,239,239,True
geo_003,257,257,257,257,257,True
geo_004,238,238,238,238,238,True
geo_005,257,257,257,257,257,True
geo_006,249,249,249,249,249,True
geo_007,242,242,242,242,242,True
geo_008,242,242,242,242,242,True
geo_009,247,247,247,247,247,True
geo_010,245,245,245,245,245,True
geo_011,238,238,238,238,238,True
geo_012,249,249,249,249,249,True
geo_013,250,250,250,250,250,True
geo_014,244,244,244,244,244,True
geo_015,245,245,245,245,245,True
geo_016,252,252,252,252,252,True
geo_017,249,249,249,249,249,True
geo_018,250,250,250,250,250,True
geo_019,240,240,240,240,240,True
geo_020,245,245,245,245,245,True
geo_021,255,255,255,255,255,True
geo_022,239,239,239,239,239,True
geo_023,240,240,240,240,240,True
geo_024,249,249,249,249,249,True
geo_025,250,250,250,250,250,True
geo_026,243,243,243,243,243,True
geo_027,242,242,242,242,242,True
geo_028,249,249,249,249,249,True
geo_029,260,260,260,260,260,True
geo_030,238,238,238,238,238,True
geo_031,256,256,256,256,256,True
geo_032,251,251,251,251,251,True
geo_033,250,250,250,250,250,True
geo_034,247,247,247,247,247,True
geo_035,244,244,244,244,244,True
geo_036,259,259,259,259,259,True
geo_037,242,242,242,242,242,True
geo_038,257,257,257,257,257,True
geo_039,246,246,246,246,246,True
geo_040,256,256,256,256,256,True
geo_041,259,259,259,259,259,True
geo_042,247,247,247,247,247,True
geo_043,249,249,249,249,249,True
geo_044,262,262,262,262,262,True
geo_045,243,243,243,243,243,True
geo_046,254,254,254,254,254,True
geo_047,245,245,245,245,245,True
geo_048,262,262,262,262,262,True
geo_049,248,248,248,248,248,True
geo_050,244,244,244,244,244,True
sci_001,257,257,257,257,257,True
sci_002,263,263,263,263,263,True
sci_003,247,247,247,247,247,True
sci_004,244,244,244,244,244,True
sci_005,248,248,248,248,248,True
sci_006,244,244,244,244,244,True
sci_007,240,240,240,240,240,True
sci_008,247,247,247,247,247,True
sci_009,250,250,250,250,250,True
sci_010,236,236,236,236,236,True
sci_011,246,246,246,246,246,True
sci_012,246,246,246,246,246,True
sci_013,245,245,245,245,245,True
sci_014,253,253,253,253,253,True
sci_015,253,253,253,253,253,True
sci_016,254,254,254,254,254,True
sci_017,250,250,250,250,250,True
sci_018,247,247,247,247,247,True
sci_019,259,259,259,259,259,True
sci_020,267,267,267,267,267,True
sci_021,240,240,240,240,240,True
sci_022,260,260,260,260,260,True
sci_023,250,250,250,250,250,True
sci_024,265,265,265,265,265,True
sci_025,248,248,248,248,248,True
sci_026,247,247,247,247,247,True
sci_027,249,249,249,249,249,True
sci_028,252,252,252,252,252,True
sci_029,245,245,245,245,245,True
sci_030,262,262,262,262,262,True
sci_031,249,249,249,249,249,True
sci_032,246,246,246,246,246,True
sci_033,250,250,250,250,250,True
sci_034,262,262,262,262,262,True
sci_035,250,250,250,250,250,True
sci_036,256,256,256,256,256,True
sci_037,246,246,246,246,246,True
sci_038,241,241,241,241,241,True
sci_039,256,256,256,256,256,True
sci_040,247,247,247,247,247,True
sci_041,258,258,258,258,258,True
sci_042,255,255,255,255,255,True
sci_043,269,269,269,269,269,True
sci_044,258,258,258,258,258,True
sci_045,255,255,255,255,255,True
sci_046,250,250,250,250,250,True
sci_047,256,256,256,256,256,True
sci_048,236,236,236,236,236,True
sci_049,259,259,259,259,259,True
sci_050,261,261,261,261,261,True
bio_001,248,248,248,248,248,True
bio_002,250,250,250,250,250,True
bio_003,244,244,244,244,244,True
bio_004,250,250,250,250,250,True
bio_005,249,249,249,249,249,True
bio_006,266,266,266,266,266,True
bio_007,249,249,249,249,249,True
bio_008,244,244,244,244,244,True
bio_009,252,252,252,252,252,True
bio_010,249,249,249,249,249,True
bio_011,242,242,242,242,242,True
bio_012,231,231,231,231,231,True
bio_013,239,239,239,239,239,True
bio_014,240,240,240,240,240,True
bio_015,245,245,245,245,245,True
bio_016,251,251,251,251,251,True
bio_017,256,256,256,256,256,True
bio_018,252,252,252,252,252,True
bio_019,246,246,246,246,246,True
bio_020,249,249,249,249,249,True
bio_021,248,248,248,248,248,True
bio_022,240,240,240,240,240,True
bio_023,250,250,250,250,250,True
bio_024,258,258,258,258,258,True
bio_025,257,257,257,257,257,True
bio_026,260,260,260,260,260,True
bio_027,270,270,270,270,270,True
bio_028,256,256,256,256,256,True
bio_029,242,242,242,242,242,True
bio_030,247,247,247,247,247,True
bio_031,242,242,242,242,242,True
bio_032,258,258,258,258,258,True
bio_033,254,254,254,254,254,True
bio_034,248,248,248,248,248,True
bio_035,251,251,251,251,251,True
bio_036,247,247,247,247,247,True
bio_037,257,257,257,257,257,True
bio_038,243,243,243,243,243,True
bio_039,245,245,245,245,245,True
bio_040,257,257,257,257,257,True
bio_041,238,238,238,238,238,True
bio_042,252,252,252,252,252,True
bio_043,258,258,258,258,258,True
bio_044,262,262,262,262,262,True
bio_045,262,262,262,262,262,True
bio_046,253,253,253,253,253,True
bio_047,264,264,264,264,264,True
bio_048,251,251,251,251,251,True
bio_049,246,246,246,246,246,True
bio_050,248,248,248,248,248,True
cul_001,262,262,262,262,262,True
cul_002,259,259,259,259,259,True
cul_003,247,247,247,247,247,True
cul_004,251,251,251,251,251,True
cul_005,262,262,262,262,262,True
cul_006,256,256,256,256,256,True
cul_007,260,260,260,260,260,True
cul_008,257,257,257,257,257,True
cul_009,252,252,252,252,252,True
cul_010,244,244,244,244,244,True
cul_011,260,260,260,260,260,True
cul_012,257,257,257,257,257,True
cul_013,263,263,263,263,263,True
cul_014,255,255,255,255,255,True
cul_015,251,251,251,251,251,True
cul_016,250,250,250,250,250,True
cul_017,266,266,266,266,266,True
cul_018,239,239,239,239,239,True
cul_019,262,262,262,262,262,True
cul_020,252,252,252,252,252,True
cul_021,255,255,255,255,255,True
cul_022,244,244,244,244,244,True
cul_023,259,259,259,259,259,True
cul_024,258,258,258,258,258,True
cul_025,255,255,255,255,255,True
cul_026,238,238,238,238,238,True
cul_027,252,252,252,252,252,True
cul_028,252,252,252,252,252,True
cul_029,258,258,258,258,258,True
cul_030,259,259,259,259,259,True
cul_031,242,242,242,242,242,True
cul_032,251,251,251,251,251,True
cul_033,251,251,251,251,251,True
cul_034,259,259,259,259,259,True
cul_035,253,253,253,253,253,True
cul_036,252,252,252,252,252,True
cul_037,267,267,267,267,267,True
cul_038,247,247,247,247,247,True
cul_039,258,258,258,258,258,True
cul_040,249,249,249,249,249,True
cul_041,249,249,249,249,249,True
cul_042,262,262,262,262,262,True
cul_043,252,252,252,252,252,True
cul_044,257,257,257,257,257,True
cul_045,265,265,265,265,265,True
cul_046,252,252,252,252,252,True
cul_047,264,264,264,264,264,True
cul_048,260,260,260,260,260,True
cul_049,266,266,266,266,266,True
cul_050,253,253,253,253,253,True
