model,diagnostic,example_id,domain,source_cell,donor_cell,layer,hook,token_position,alpha,split,gold_answer,gold_token_id,per_example_vector_l2_norm,baseline_gold_logit,steered_gold_logit,delta_gold_logit,baseline_gold_rank,steered_gold_rank,delta_gold_rank,baseline_top1,steered_top1
Qwen/Qwen2.5-3B,oracle,geo_002,geography,B,D,34,resid_post,final_prompt_token,0.25,test,Asia,13622,154.921630859375,17.34375,18.890625,1.546875,4,1,3,0,0
Qwen/Qwen2.5-3B,oracle,geo_002,geography,B,D,34,resid_post,final_prompt_token,0.5,test,Asia,13622,154.921630859375,17.34375,20.40625,3.0625,4,0,4,0,1
Qwen/Qwen2.5-3B,oracle,geo_002,geography,B,D,34,resid_post,final_prompt_token,0.75,test,Asia,13622,154.921630859375,17.34375,21.9375,4.59375,4,0,4,0,1
Qwen/Qwen2.5-3B,oracle,geo_002,geography,B,D,34,resid_post,final_prompt_token,1.0,test,Asia,13622,154.921630859375,17.34375,23.421875,6.078125,4,0,4,0,1
Qwen/Qwen2.5-3B,oracle,geo_006,geography,B,D,34,resid_post,final_prompt_token,0.25,test,South America,4882,151.69302368164062,19.125,20.296875,1.171875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_006,geography,B,D,34,resid_post,final_prompt_token,0.5,test,South America,4882,151.69302368164062,19.125,21.53125,2.40625,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_006,geography,B,D,34,resid_post,final_prompt_token,0.75,test,South America,4882,151.69302368164062,19.125,22.796875,3.671875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_006,geography,B,D,34,resid_post,final_prompt_token,1.0,test,South America,4882,151.69302368164062,19.125,24.046875,4.921875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_007,geography,B,D,34,resid_post,final_prompt_token,0.25,test,Africa,10174,155.69383239746094,17.828125,19.125,1.296875,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_007,geography,B,D,34,resid_post,final_prompt_token,0.5,test,Africa,10174,155.69383239746094,17.828125,20.421875,2.59375,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_007,geography,B,D,34,resid_post,final_prompt_token,0.75,test,Africa,10174,155.69383239746094,17.828125,21.734375,3.90625,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_007,geography,B,D,34,resid_post,final_prompt_token,1.0,test,Africa,10174,155.69383239746094,17.828125,23.0625,5.234375,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_019,geography,B,D,34,resid_post,final_prompt_token,0.25,test,Asia,13622,149.08255004882812,19.828125,20.859375,1.03125,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_019,geography,B,D,34,resid_post,final_prompt_token,0.5,test,Asia,13622,149.08255004882812,19.828125,21.9375,2.109375,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_019,geography,B,D,34,resid_post,final_prompt_token,0.75,test,Asia,13622,149.08255004882812,19.828125,23.046875,3.21875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_019,geography,B,D,34,resid_post,final_prompt_token,1.0,test,Asia,13622,149.08255004882812,19.828125,24.171875,4.34375,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_022,geography,B,D,34,resid_post,final_prompt_token,0.25,test,South America,4882,137.43844604492188,18.109375,19.1875,1.078125,3,1,2,0,0
Qwen/Qwen2.5-3B,oracle,geo_022,geography,B,D,34,resid_post,final_prompt_token,0.5,test,South America,4882,137.43844604492188,18.109375,20.359375,2.25,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,geo_022,geography,B,D,34,resid_post,final_prompt_token,0.75,test,South America,4882,137.43844604492188,18.109375,21.59375,3.484375,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,geo_022,geography,B,D,34,resid_post,final_prompt_token,1.0,test,South America,4882,137.43844604492188,18.109375,22.875,4.765625,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,geo_025,geography,B,D,34,resid_post,final_prompt_token,0.25,test,NATO,29234,168.39315795898438,12.484375,14.703125,2.21875,13,4,9,0,0
Qwen/Qwen2.5-3B,oracle,geo_025,geography,B,D,34,resid_post,final_prompt_token,0.5,test,NATO,29234,168.39315795898438,12.484375,16.859375,4.375,13,3,10,0,0
Qwen/Qwen2.5-3B,oracle,geo_025,geography,B,D,34,resid_post,final_prompt_token,0.75,test,NATO,29234,168.39315795898438,12.484375,18.953125,6.46875,13,2,11,0,0
Qwen/Qwen2.5-3B,oracle,geo_025,geography,B,D,34,resid_post,final_prompt_token,1.0,test,NATO,29234,168.39315795898438,12.484375,20.96875,8.484375,13,0,13,0,1
Qwen/Qwen2.5-3B,oracle,geo_028,geography,B,D,34,resid_post,final_prompt_token,0.25,test,Asia,13622,174.32815551757812,18.78125,20.265625,1.484375,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_028,geography,B,D,34,resid_post,final_prompt_token,0.5,test,Asia,13622,174.32815551757812,18.78125,21.65625,2.875,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_028,geography,B,D,34,resid_post,final_prompt_token,0.75,test,Asia,13622,174.32815551757812,18.78125,22.921875,4.140625,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_028,geography,B,D,34,resid_post,final_prompt_token,1.0,test,Asia,13622,174.32815551757812,18.78125,24.0625,5.28125,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_035,geography,B,D,34,resid_post,final_prompt_token,0.25,test,Asia,13622,162.48683166503906,18.65625,20.171875,1.515625,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_035,geography,B,D,34,resid_post,final_prompt_token,0.5,test,Asia,13622,162.48683166503906,18.65625,21.71875,3.0625,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_035,geography,B,D,34,resid_post,final_prompt_token,0.75,test,Asia,13622,162.48683166503906,18.65625,23.265625,4.609375,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_035,geography,B,D,34,resid_post,final_prompt_token,1.0,test,Asia,13622,162.48683166503906,18.65625,24.765625,6.109375,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_043,geography,B,D,34,resid_post,final_prompt_token,0.25,test,South America,4882,162.9655303955078,17.609375,19.296875,1.6875,2,1,1,0,0
Qwen/Qwen2.5-3B,oracle,geo_043,geography,B,D,34,resid_post,final_prompt_token,0.5,test,South America,4882,162.9655303955078,17.609375,21.140625,3.53125,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_043,geography,B,D,34,resid_post,final_prompt_token,0.75,test,South America,4882,162.9655303955078,17.609375,23.09375,5.484375,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_043,geography,B,D,34,resid_post,final_prompt_token,1.0,test,South America,4882,162.9655303955078,17.609375,25.09375,7.484375,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_045,geography,B,D,34,resid_post,final_prompt_token,0.25,test,Asia,13622,144.79600524902344,19.546875,20.265625,0.71875,1,1,0,0,0
Qwen/Qwen2.5-3B,oracle,geo_045,geography,B,D,34,resid_post,final_prompt_token,0.5,test,Asia,13622,144.79600524902344,19.546875,21.015625,1.46875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_045,geography,B,D,34,resid_post,final_prompt_token,0.75,test,Asia,13622,144.79600524902344,19.546875,21.75,2.203125,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_045,geography,B,D,34,resid_post,final_prompt_token,1.0,test,Asia,13622,144.79600524902344,19.546875,22.46875,2.921875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_047,geography,B,D,34,resid_post,final_prompt_token,0.25,test,Africa,10174,164.83084106445312,18.71875,19.875,1.15625,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_047,geography,B,D,34,resid_post,final_prompt_token,0.5,test,Africa,10174,164.83084106445312,18.71875,21.015625,2.296875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_047,geography,B,D,34,resid_post,final_prompt_token,0.75,test,Africa,10174,164.83084106445312,18.71875,22.1875,3.46875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_047,geography,B,D,34,resid_post,final_prompt_token,1.0,test,Africa,10174,164.83084106445312,18.71875,23.375,4.65625,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_049,geography,B,D,34,resid_post,final_prompt_token,0.25,test,Africa,10174,149.7001495361328,18.09375,19.421875,1.328125,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,geo_049,geography,B,D,34,resid_post,final_prompt_token,0.5,test,Africa,10174,149.7001495361328,18.09375,20.796875,2.703125,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,geo_049,geography,B,D,34,resid_post,final_prompt_token,0.75,test,Africa,10174,149.7001495361328,18.09375,22.21875,4.125,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,geo_049,geography,B,D,34,resid_post,final_prompt_token,1.0,test,Africa,10174,149.7001495361328,18.09375,23.71875,5.625,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,sci_006,science,B,D,34,resid_post,final_prompt_token,0.25,test,electric charge,9072,186.51463317871094,12.2109375,14.3125,2.1015625,19,10,9,0,0
Qwen/Qwen2.5-3B,oracle,sci_006,science,B,D,34,resid_post,final_prompt_token,0.5,test,electric charge,9072,186.51463317871094,12.2109375,16.265625,4.0546875,19,6,13,0,0
Qwen/Qwen2.5-3B,oracle,sci_006,science,B,D,34,resid_post,final_prompt_token,0.75,test,electric charge,9072,186.51463317871094,12.2109375,18.078125,5.8671875,19,3,16,0,0
Qwen/Qwen2.5-3B,oracle,sci_006,science,B,D,34,resid_post,final_prompt_token,1.0,test,electric charge,9072,186.51463317871094,12.2109375,19.765625,7.5546875,19,0,19,0,1
Qwen/Qwen2.5-3B,oracle,sci_014,science,B,D,34,resid_post,final_prompt_token,0.25,test,SiO2,11832,194.25466918945312,14.65625,16.984375,2.328125,6,2,4,0,0
Qwen/Qwen2.5-3B,oracle,sci_014,science,B,D,34,resid_post,final_prompt_token,0.5,test,SiO2,11832,194.25466918945312,14.65625,19.34375,4.6875,6,0,6,0,1
Qwen/Qwen2.5-3B,oracle,sci_014,science,B,D,34,resid_post,final_prompt_token,0.75,test,SiO2,11832,194.25466918945312,14.65625,21.703125,7.046875,6,0,6,0,1
Qwen/Qwen2.5-3B,oracle,sci_014,science,B,D,34,resid_post,final_prompt_token,1.0,test,SiO2,11832,194.25466918945312,14.65625,24.03125,9.375,6,0,6,0,1
Qwen/Qwen2.5-3B,oracle,bio_007,biology,B,D,34,resid_post,final_prompt_token,0.25,test,exposure to sunlight,14338,174.85333251953125,13.203125,15.296875,2.09375,20,8,12,0,0
Qwen/Qwen2.5-3B,oracle,bio_007,biology,B,D,34,resid_post,final_prompt_token,0.5,test,exposure to sunlight,14338,174.85333251953125,13.203125,17.359375,4.15625,20,3,17,0,0
Qwen/Qwen2.5-3B,oracle,bio_007,biology,B,D,34,resid_post,final_prompt_token,0.75,test,exposure to sunlight,14338,174.85333251953125,13.203125,19.328125,6.125,20,0,20,0,1
Qwen/Qwen2.5-3B,oracle,bio_007,biology,B,D,34,resid_post,final_prompt_token,1.0,test,exposure to sunlight,14338,174.85333251953125,13.203125,21.125,7.921875,20,0,20,0,1
Qwen/Qwen2.5-3B,oracle,bio_008,biology,B,D,34,resid_post,final_prompt_token,0.25,test,excessive bleeding,26541,183.36656188964844,13.8125,16.09375,2.28125,12,7,5,0,0
Qwen/Qwen2.5-3B,oracle,bio_008,biology,B,D,34,resid_post,final_prompt_token,0.5,test,excessive bleeding,26541,183.36656188964844,13.8125,18.1875,4.375,12,2,10,0,0
Qwen/Qwen2.5-3B,oracle,bio_008,biology,B,D,34,resid_post,final_prompt_token,0.75,test,excessive bleeding,26541,183.36656188964844,13.8125,20.046875,6.234375,12,0,12,0,1
Qwen/Qwen2.5-3B,oracle,bio_008,biology,B,D,34,resid_post,final_prompt_token,1.0,test,excessive bleeding,26541,183.36656188964844,13.8125,21.640625,7.828125,12,0,12,0,1
Qwen/Qwen2.5-3B,oracle,bio_012,biology,B,D,34,resid_post,final_prompt_token,0.25,test,nutrients,36393,197.6087188720703,9.875,13.265625,3.390625,187,14,173,0,0
Qwen/Qwen2.5-3B,oracle,bio_012,biology,B,D,34,resid_post,final_prompt_token,0.5,test,nutrients,36393,197.6087188720703,9.875,16.3125,6.4375,187,7,180,0,0
Qwen/Qwen2.5-3B,oracle,bio_012,biology,B,D,34,resid_post,final_prompt_token,0.75,test,nutrients,36393,197.6087188720703,9.875,18.890625,9.015625,187,2,185,0,0
Qwen/Qwen2.5-3B,oracle,bio_012,biology,B,D,34,resid_post,final_prompt_token,1.0,test,nutrients,36393,197.6087188720703,9.875,20.984375,11.109375,187,1,186,0,0
Qwen/Qwen2.5-3B,oracle,bio_026,biology,B,D,34,resid_post,final_prompt_token,0.25,test,the eye,279,164.95277404785156,19.671875,20.421875,0.75,0,0,0,1,1
Qwen/Qwen2.5-3B,oracle,bio_026,biology,B,D,34,resid_post,final_prompt_token,0.5,test,the eye,279,164.95277404785156,19.671875,21.34375,1.671875,0,0,0,1,1
Qwen/Qwen2.5-3B,oracle,bio_026,biology,B,D,34,resid_post,final_prompt_token,0.75,test,the eye,279,164.95277404785156,19.671875,22.328125,2.65625,0,0,0,1,1
Qwen/Qwen2.5-3B,oracle,bio_026,biology,B,D,34,resid_post,final_prompt_token,1.0,test,the eye,279,164.95277404785156,19.671875,23.203125,3.53125,0,0,0,1,1
Qwen/Qwen2.5-3B,oracle,bio_038,biology,B,D,34,resid_post,final_prompt_token,0.25,test,oxygen,23552,174.52349853515625,15.234375,17.265625,2.03125,4,2,2,0,0
Qwen/Qwen2.5-3B,oracle,bio_038,biology,B,D,34,resid_post,final_prompt_token,0.5,test,oxygen,23552,174.52349853515625,15.234375,19.34375,4.109375,4,1,3,0,0
Qwen/Qwen2.5-3B,oracle,bio_038,biology,B,D,34,resid_post,final_prompt_token,0.75,test,oxygen,23552,174.52349853515625,15.234375,21.421875,6.1875,4,0,4,0,1
Qwen/Qwen2.5-3B,oracle,bio_038,biology,B,D,34,resid_post,final_prompt_token,1.0,test,oxygen,23552,174.52349853515625,15.234375,23.421875,8.1875,4,0,4,0,1
Qwen/Qwen2.5-3B,oracle,bio_046,biology,B,D,34,resid_post,final_prompt_token,0.25,test,nutrients from food,36393,181.39071655273438,12.390625,15.15625,2.765625,25,5,20,0,0
Qwen/Qwen2.5-3B,oracle,bio_046,biology,B,D,34,resid_post,final_prompt_token,0.5,test,nutrients from food,36393,181.39071655273438,12.390625,17.328125,4.9375,25,3,22,0,0
Qwen/Qwen2.5-3B,oracle,bio_046,biology,B,D,34,resid_post,final_prompt_token,0.75,test,nutrients from food,36393,181.39071655273438,12.390625,18.984375,6.59375,25,1,24,0,0
Qwen/Qwen2.5-3B,oracle,bio_046,biology,B,D,34,resid_post,final_prompt_token,1.0,test,nutrients from food,36393,181.39071655273438,12.390625,20.234375,7.84375,25,0,25,0,1
Qwen/Qwen2.5-3B,oracle,cul_002,culture,B,D,34,resid_post,final_prompt_token,0.25,test,France,9625,163.64674377441406,16.3125,18.0625,1.75,3,1,2,0,0
Qwen/Qwen2.5-3B,oracle,cul_002,culture,B,D,34,resid_post,final_prompt_token,0.5,test,France,9625,163.64674377441406,16.3125,19.90625,3.59375,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_002,culture,B,D,34,resid_post,final_prompt_token,0.75,test,France,9625,163.64674377441406,16.3125,21.8125,5.5,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_002,culture,B,D,34,resid_post,final_prompt_token,1.0,test,France,9625,163.64674377441406,16.3125,23.71875,7.40625,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_005,culture,B,D,34,resid_post,final_prompt_token,0.25,test,Spain,17689,150.65011596679688,16.53125,17.5,0.96875,3,2,1,0,0
Qwen/Qwen2.5-3B,oracle,cul_005,culture,B,D,34,resid_post,final_prompt_token,0.5,test,Spain,17689,150.65011596679688,16.53125,18.359375,1.828125,3,1,2,0,0
Qwen/Qwen2.5-3B,oracle,cul_005,culture,B,D,34,resid_post,final_prompt_token,0.75,test,Spain,17689,150.65011596679688,16.53125,19.125,2.59375,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_005,culture,B,D,34,resid_post,final_prompt_token,1.0,test,Spain,17689,150.65011596679688,16.53125,19.765625,3.234375,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_011,culture,B,D,34,resid_post,final_prompt_token,0.25,test,Greece,24427,163.48643493652344,15.8359375,18.078125,2.2421875,3,2,1,0,0
Qwen/Qwen2.5-3B,oracle,cul_011,culture,B,D,34,resid_post,final_prompt_token,0.5,test,Greece,24427,163.48643493652344,15.8359375,20.078125,4.2421875,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_011,culture,B,D,34,resid_post,final_prompt_token,0.75,test,Greece,24427,163.48643493652344,15.8359375,21.890625,6.0546875,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_011,culture,B,D,34,resid_post,final_prompt_token,1.0,test,Greece,24427,163.48643493652344,15.8359375,23.5,7.6640625,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_017,culture,B,D,34,resid_post,final_prompt_token,0.25,test,India,6747,167.4591064453125,15.015625,17.015625,2.0,8,3,5,0,0
Qwen/Qwen2.5-3B,oracle,cul_017,culture,B,D,34,resid_post,final_prompt_token,0.5,test,India,6747,167.4591064453125,15.015625,19.0625,4.046875,8,0,8,0,0
Qwen/Qwen2.5-3B,oracle,cul_017,culture,B,D,34,resid_post,final_prompt_token,0.75,test,India,6747,167.4591064453125,15.015625,21.078125,6.0625,8,0,8,0,1
Qwen/Qwen2.5-3B,oracle,cul_017,culture,B,D,34,resid_post,final_prompt_token,1.0,test,India,6747,167.4591064453125,15.015625,23.046875,8.03125,8,0,8,0,1
Qwen/Qwen2.5-3B,oracle,cul_018,culture,B,D,34,resid_post,final_prompt_token,0.25,test,North America,4787,177.46197509765625,18.03125,19.203125,1.171875,2,1,1,0,0
Qwen/Qwen2.5-3B,oracle,cul_018,culture,B,D,34,resid_post,final_prompt_token,0.5,test,North America,4787,177.46197509765625,18.03125,20.359375,2.328125,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,cul_018,culture,B,D,34,resid_post,final_prompt_token,0.75,test,North America,4787,177.46197509765625,18.03125,21.53125,3.5,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,cul_018,culture,B,D,34,resid_post,final_prompt_token,1.0,test,North America,4787,177.46197509765625,18.03125,22.671875,4.640625,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,cul_026,culture,B,D,34,resid_post,final_prompt_token,0.25,test,Russia,8359,154.01197814941406,17.0625,18.4375,1.375,3,1,2,0,0
Qwen/Qwen2.5-3B,oracle,cul_026,culture,B,D,34,resid_post,final_prompt_token,0.5,test,Russia,8359,154.01197814941406,17.0625,19.921875,2.859375,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_026,culture,B,D,34,resid_post,final_prompt_token,0.75,test,Russia,8359,154.01197814941406,17.0625,21.515625,4.453125,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_026,culture,B,D,34,resid_post,final_prompt_token,1.0,test,Russia,8359,154.01197814941406,17.0625,23.171875,6.109375,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_029,culture,B,D,34,resid_post,final_prompt_token,0.25,test,Cairo,52550,165.8140869140625,17.21875,18.5625,1.34375,3,2,1,0,0
Qwen/Qwen2.5-3B,oracle,cul_029,culture,B,D,34,resid_post,final_prompt_token,0.5,test,Cairo,52550,165.8140869140625,17.21875,19.828125,2.609375,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_029,culture,B,D,34,resid_post,final_prompt_token,0.75,test,Cairo,52550,165.8140869140625,17.21875,21.046875,3.828125,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_029,culture,B,D,34,resid_post,final_prompt_token,1.0,test,Cairo,52550,165.8140869140625,17.21875,22.203125,4.984375,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,cul_031,culture,B,D,34,resid_post,final_prompt_token,0.25,test,the River Thames,279,170.4512481689453,18.78125,19.578125,0.796875,0,0,0,1,1
Qwen/Qwen2.5-3B,oracle,cul_031,culture,B,D,34,resid_post,final_prompt_token,0.5,test,the River Thames,279,170.4512481689453,18.78125,20.515625,1.734375,0,0,0,1,1
Qwen/Qwen2.5-3B,oracle,cul_031,culture,B,D,34,resid_post,final_prompt_token,0.75,test,the River Thames,279,170.4512481689453,18.78125,21.46875,2.6875,0,1,-1,1,0
Qwen/Qwen2.5-3B,oracle,cul_031,culture,B,D,34,resid_post,final_prompt_token,1.0,test,the River Thames,279,170.4512481689453,18.78125,22.359375,3.578125,0,1,-1,1,0
Qwen/Qwen2.5-3B,oracle,cul_035,culture,B,D,34,resid_post,final_prompt_token,0.25,test,the Pacific Ring of Fire,279,169.39266967773438,18.359375,18.875,0.515625,0,0,0,1,1
Qwen/Qwen2.5-3B,oracle,cul_035,culture,B,D,34,resid_post,final_prompt_token,0.5,test,the Pacific Ring of Fire,279,169.39266967773438,18.359375,19.4375,1.078125,0,0,0,1,1
Qwen/Qwen2.5-3B,oracle,cul_035,culture,B,D,34,resid_post,final_prompt_token,0.75,test,the Pacific Ring of Fire,279,169.39266967773438,18.359375,19.984375,1.625,0,1,-1,1,0
Qwen/Qwen2.5-3B,oracle,cul_035,culture,B,D,34,resid_post,final_prompt_token,1.0,test,the Pacific Ring of Fire,279,169.39266967773438,18.359375,20.390625,2.03125,0,1,-1,1,0
Qwen/Qwen2.5-3B,oracle,cul_039,culture,B,D,34,resid_post,final_prompt_token,0.25,test,1147,220,171.64144897460938,18.734375,19.609375,0.875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,cul_039,culture,B,D,34,resid_post,final_prompt_token,0.5,test,1147,220,171.64144897460938,18.734375,20.625,1.890625,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,cul_039,culture,B,D,34,resid_post,final_prompt_token,0.75,test,1147,220,171.64144897460938,18.734375,21.765625,3.03125,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,cul_039,culture,B,D,34,resid_post,final_prompt_token,1.0,test,1147,220,171.64144897460938,18.734375,22.96875,4.234375,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,cul_041,culture,B,D,34,resid_post,final_prompt_token,0.25,test,Southeast Asia,35564,169.99720764160156,17.671875,19.359375,1.6875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,cul_041,culture,B,D,34,resid_post,final_prompt_token,0.5,test,Southeast Asia,35564,169.99720764160156,17.671875,20.921875,3.25,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,cul_041,culture,B,D,34,resid_post,final_prompt_token,0.75,test,Southeast Asia,35564,169.99720764160156,17.671875,22.390625,4.71875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,cul_041,culture,B,D,34,resid_post,final_prompt_token,1.0,test,Southeast Asia,35564,169.99720764160156,17.671875,23.765625,6.09375,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,cul_047,culture,B,D,34,resid_post,final_prompt_token,0.25,test,Spain,17689,163.2322998046875,15.0625,16.515625,1.453125,4,1,3,0,0
Qwen/Qwen2.5-3B,oracle,cul_047,culture,B,D,34,resid_post,final_prompt_token,0.5,test,Spain,17689,163.2322998046875,15.0625,18.0,2.9375,4,1,3,0,0
Qwen/Qwen2.5-3B,oracle,cul_047,culture,B,D,34,resid_post,final_prompt_token,0.75,test,Spain,17689,163.2322998046875,15.0625,19.40625,4.34375,4,0,4,0,1
Qwen/Qwen2.5-3B,oracle,cul_047,culture,B,D,34,resid_post,final_prompt_token,1.0,test,Spain,17689,163.2322998046875,15.0625,20.65625,5.59375,4,0,4,0,1
